item,dbpedia_class
Lorenzo Thomas,Person
Lorenzo Thomas,Agent
Lorenzo Thomas,MilitaryPerson
Artaxerxes II,
Connecticut,Place
Connecticut,Location
Connecticut,AdministrativeRegion
Connecticut,PopulatedPlace
Connecticut,Region
Libyan Civil War,
Krugersdorp,Place
Krugersdorp,Location
Krugersdorp,City
Krugersdorp,PopulatedPlace
Krugersdorp,Settlement
Sister city,
Kurung Kumey district,Settlement
Uganda Martyrs,Band
American Academy of Arts and Letters,Organisation
Guggenheim Fellowship,
Henry I of England,Person
Henry I of England,Agent
Henry I of England,Royalty
Kirkus Reviews,Magazine
Kirkus Reviews,PeriodicalLiterature
Kirkus Reviews,Work
Kirkus Reviews,WrittenWork
French language,Language
Data Definition Language,
TAFE,
North Jersey Coast Line,Place
North Jersey Coast Line,Location
North Jersey Coast Line,ArchitecturalStructure
North Jersey Coast Line,Infrastructure
North Jersey Coast Line,Organisation
North Jersey Coast Line,RailwayLine
North Jersey Coast Line,RouteOfTransportation
Scholastic Corporation,Company
Scholastic Corporation,Publisher
Scholastic Corporation,Agent
Scholastic Corporation,Organisation
Heroes of the Lance,
FXFL Blacktips,Agent
FXFL Blacktips,Organisation
FXFL Blacktips,SportsTeam
Mahdi,
Sayaka Kanda,Person
Sayaka Kanda,Actor
Sayaka Kanda,Agent
Sayaka Kanda,Artist
Diocletian,Person
Diocletian,Agent
Diocletian,Royalty
Gadi Eizenkot,Person
Gadi Eizenkot,Agent
Gadi Eizenkot,MilitaryPerson
Shahid Beheshti University,Agent
Shahid Beheshti University,EducationalInstitution
Shahid Beheshti University,Organisation
Shahid Beheshti University,University
Ceibwr Bay,AnatomicalStructure
Stuttgart,Place
Stuttgart,Location
Stuttgart,PopulatedPlace
Stuttgart,Settlement
Stuttgart,Town
Jesse Thorn,Person
Jesse Thorn,Agent
Jesse Thorn,Presenter
Jesse Thorn,RadioHost
Roman Catholic Archdiocese of Newark,Place
Roman Catholic Archdiocese of Newark,Location
Roman Catholic Archdiocese of Newark,AdministrativeRegion
Roman Catholic Archdiocese of Newark,ClericalAdministrativeRegion
Roman Catholic Archdiocese of Newark,Diocese
Roman Catholic Archdiocese of Newark,PopulatedPlace
Roman Catholic Archdiocese of Newark,Region
Standing Rock Indian Reservation,Person
Standing Rock Indian Reservation,Place
Standing Rock Indian Reservation,Location
Standing Rock Indian Reservation,PopulatedPlace
Standing Rock Indian Reservation,Settlement
Orff,
Brigadier General,
Karlsruhe Institute of Technology,Agent
Karlsruhe Institute of Technology,EducationalInstitution
Karlsruhe Institute of Technology,Organisation
Karlsruhe Institute of Technology,University
Blue Peter,TelevisionShow
Blue Peter,Work
Japanese occupation of Beijing,
Alps,Place
Alps,Location
Alps,MountainRange
Alps,NaturalPlace
Malecon 2000,
W53,
United States,Person
United States,Place
United States,Location
United States,Country
United States,PopulatedPlace
Gloucester,Place
Gloucester,Location
Gloucester,City
Gloucester,PopulatedPlace
Gloucester,Settlement
Tigris,Person
Tigris,Place
Tigris,Location
Tigris,BodyOfWater
Tigris,NaturalPlace
Tigris,River
Tigris,Stream
Silchester,Place
Silchester,Location
Silchester,PopulatedPlace
Silchester,Settlement
Silchester,Village
Aloysius Lilius,Person
Aloysius Lilius,Agent
Aloysius Lilius,Scientist
1963 Chicago Bears season,FootballLeagueSeason
1963 Chicago Bears season,NationalFootballLeagueSeason
1963 Chicago Bears season,SportsSeason
1963 Chicago Bears season,SportsTeamSeason
Seed,Plant
Deep Purple,Agent
Deep Purple,Band
Deep Purple,Group
Deep Purple,Organisation
Dinnet,Village
Ragnall mac Torcaill,Person
Ragnall mac Torcaill,Agent
Ragnall mac Torcaill,Monarch
Manitoba,Settlement
