item,www.w3.org/2002/07/,xmlns.com/foaf/0.1/,dbpedia.org/ontology/,www.ontologydesignpatterns.org/ont/dul/,www.wikidata.org/entity/,schema.org/,umbel.org/umbel/rc/,dbpedia.org/class/yago/,www.w3.org/2003/01/geo/,purl.org/ontology/bibo/,dbpedia.org/class/,vocab.org/frbr/,dbpedia.org/class/yago/WikicatATSC-M/,dbpedia.org/class/yago/WikicatVFL/,www.ontologydesignpatterns.org/ont/,n_classes
Lorenzo Thomas,['owl#Thing'],['Person'],"['Person', 'Agent', 'MilitaryPerson']","['DUL.owl#Agent', 'DUL.owl#NaturalPerson']","['Q215627', 'Q24229398', 'Q5']",['Person'],['MilitaryPerson'],"['Adjutant109770179', 'AdjutantGeneral109770359', 'Alumnus109786338', 'CausalAgent100007347', 'CommissionedMilitaryOfficer109943239', 'CommissionedOfficer109942970', 'General110123844', 'GeneralOfficer110125786', 'Intellectual109621545', 'LivingThing100004258', 'MilitaryOfficer110317007', 'Object100002684', 'Organism100004475', 'Person100007846', 'PhysicalEntity100001930', 'Scholar110557854', 'Serviceman110582746', 'SkilledWorker110605985', 'Whole100003553', 'Worker109632518', 'YagoLegalActor', 'YagoLegalActorGeo', 'WikicatAdjutantGeneralsOfTheUnitedStatesArmy', 'WikicatUnionArmyGenerals', 'WikicatUnitedStatesArmyGenerals', 'WikicatUnitedStatesMilitaryAcademyAlumni', 'WikicatPeopleFromNewCastleCounty,Delaware', 'WikicatPeopleOfDelawareInTheAmericanCivilWar']",,,,,,,,40
Artaxerxes II,,,,,,,,,,,,,,,,0
Connecticut,['owl#Thing'],,"['Place', 'Location', 'AdministrativeRegion', 'PopulatedPlace', 'Region']",,['Q3455524'],"['AdministrativeArea', 'Place']",['PopulatedPlace'],"['WikicatStateGovernmentsOfTheUnitedStates', 'WikicatStatesAndTerritoriesEstablishedIn1788', 'WikicatStatesOfTheUnitedStates', 'Abstraction100002137', 'AdministrativeDistrict108491826', 'District108552138', 'Government108050678', 'Group100031264', 'Location100027167', 'Object100002684', 'Organization108008335', 'PhysicalEntity100001930', 'Polity108050385', 'Region108630985', 'SocialGroup107950920', 'StateGovernment108226018', 'YagoGeoEntity', 'YagoLegalActor', 'YagoLegalActorGeo', 'YagoPermanentlyLocatedEntity', 'WikicatNortheasternUnitedStates']",['wgs84_pos#SpatialThing'],,,,,,,32
Libyan Civil War,,,,,,,,,,,,,,,,0
Krugersdorp,['owl#Thing'],,"['Place', 'Location', 'City', 'PopulatedPlace', 'Settlement']",,['Q486972'],['Place'],,"['WikicatGoldMinesInSouthAfrica', 'WikicatSecondBoerWarConcentrationCamps', 'AdministrativeDistrict108491826', 'Artifact100021939', 'Camp102945379', 'City108524735', 'ConcentrationCamp103086183', 'District108552138', 'Establishment103297735', 'Excavation103302121', 'Facility103315023', 'GeographicalArea108574314', 'Goldmine103445217', 'Institution103574555', 'Location100027167', 'Mine103768346', 'Municipality108626283', 'Object100002684', 'PenalInstitution103907654', 'PhysicalEntity100001930', 'Region108630985', 'Site108651247', 'Source104263614', 'Structure104341686', 'Town108665504', 'Tract108673395', 'UrbanArea108675967', 'Whole100003553', 'YagoGeoEntity', 'YagoLegalActorGeo', 'YagoPermanentlyLocatedEntity', 'WikicatCitiesInSouthAfrica', 'WikicatUraniumMines', 'WikicatPopulatedPlacesEstablishedIn1887', 'WikicatPopulatedPlacesFoundedByAfrikaners', 'WikicatPopulatedPlacesInTheMogaleCityLocalMunicipality']",['wgs84_pos#SpatialThing'],,,,,,,45
Sister city,,,,,,,,,,,,,,,,0
Kurung Kumey district,,,['Settlement'],,,,,"['District108552138', 'Location100027167', 'Object100002684', 'PhysicalEntity100001930', 'Region108630985', 'YagoGeoEntity', 'YagoLegalActorGeo', 'YagoPermanentlyLocatedEntity', 'WikicatDistrictsOfArunachalPradesh']",['wgs84_pos#SpatialThing'],,,,,,,11
Uganda Martyrs,,,['Band'],,,,,"['WikicatPeopleCelebratedInTheLutheranLiturgicalCalendar', 'WikicatPeopleExecutedByBuganda', 'WikicatUgandanRomanCatholicSaints', 'CausalAgent100007347', 'Child109917593', 'Convert109962414', 'GoodPerson110138767', 'Juvenile109622049', 'LivingThing100004258', 'Martyr110296618', 'Object100002684', 'Organism100004475', 'Person100007846', 'PhysicalEntity100001930', 'Saint110546850', 'Unfortunate109630641', 'Victim110752093', 'Whole100003553', 'YagoLegalActor', 'YagoLegalActorGeo', 'WikicatChildSaints', 'WikicatConvertsToRomanCatholicism', 'WikicatConvertsToRomanCatholicismFromPaganReligions', 'WikicatExecutedChildren', 'WikicatExecutedPeople', 'WikicatExecutedUgandanPeople', 'Wikicat19th-centuryChristianMartyrs', 'Wikicat19th-centuryChristianSaints', 'Wikicat19th-centuryRomanCatholicMartyrs', 'WikicatAnglicanSaints', 'WikicatMartyrs']",,,,,,,,32
American Academy of Arts and Letters,,,['Organisation'],,,,,,,,,,,,,1
Guggenheim Fellowship,['owl#Thing'],,,,,,,"['WikicatScholarships', 'Abstraction100002137', 'Acquisition113253255', 'Aid113265904', 'Award106696483', 'Communication100033020', 'Gift113265011', 'Possession100032613', 'Prize113268146', 'Relation100031921', 'Scholarship113266170', 'Signal106791372', 'Symbol106806469', 'TransferredProperty113252973', 'WikicatAmericanAwards', 'WikicatAwards']",,,,,,,,17
